title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
Burning Man,http://www.abc.net.au/atthemovies/txt/s3348328.htm,11/9/2011,17/11/2011,MA15+,109,"Comedy, Drama, Romance",Matthew Goode,Jonathan Teplitzky,English,Paramount Pictures Australia and Transmission Films,4.5,4.5,9
Calvary,http://www.abc.net.au/atthemovies/txt/s4031361.htm,7/1/2014,3/7/2014,MA15+,100,Drama,Brendan Gleeson,John Michael McDonagh,English,Transmission Films,4.5,4.5,9
Collateral,http://www.abc.net.au/atthemovies/txt/s1214214.htm,10/7/2004,14/10/2004,MA15+,120,Thriller,Tom Cruise,Michael Mann,English,United International Pictures,4.5,4.5,9
Downfall,http://www.abc.net.au/atthemovies/txt/s1337889.htm,4/13/2005,21/04/2005,MA15+,156,Drama,Bruno Ganz,Oliver Hirschbiegel,German,Hopscotch,4.5,4.5,9
Gran Torino,http://www.abc.net.au/atthemovies/txt/s2475973.htm,2/11/2009,22/01/2009,M,116,Drama,Clint Eastwood,Clint Eastwood,English,Roadshow,4,5,9
Grizzly Man,http://www.abc.net.au/atthemovies/txt/s1454049.htm,9/7/2005,8/9/2005,M,103,Documentary,Timothy Treadwell,Werner Herzog,English,Madman Cinema,4,5,9
Hunger,http://www.abc.net.au/atthemovies/txt/s2391513.htm,10/29/2008,6/11/2008,,96,Drama,Michael Fassbender,Steve McQueen,English,Icon Film Distribution,4.5,4.5,9
Inception,http://www.abc.net.au/atthemovies/txt/s2931066.htm,7/21/2010,22/07/2010,,,"Drama, Mystery, Sci-Fi, Thriller",Leonardo DiCaprio,Christopher Nolan,English,Roadshow,4.5,4.5,9
Look Both Ways,http://www.abc.net.au/atthemovies/txt/s1433709.htm,8/10/2005,18/08/2005,M,100,Drama,William McInnes,Sarah Watt,English,Dendy Films / Footprint Films,4.5,4.5,9
Million Dollar Baby,http://www.abc.net.au/atthemovies/txt/s1292731.htm,2/9/2005,3/2/2005,M,132,"Drama, Boxing",Hilary Swank,Clint Eastwood,English,Roadshow,4,5,9
Mysterious Skin,http://www.abc.net.au/atthemovies/txt/s1439023.htm,8/17/2005,18/08/2005,R18+,106,Drama,Joseph Gordon-Levitt,Gregg Araki,English,Hopscotch,4.5,4.5,9
Once Upon A Time In Anatolia,http://www.abc.net.au/atthemovies/txt/s3492156.htm,5/23/2012,31/05/2012,M,150,"Crime, Drama",Muhammet Uzuner,Nuri Bilge Ceylan,English,Madman,4.5,4.5,9
Pan's Labyrinth,http://www.abc.net.au/atthemovies/txt/s1802015.htm,12/17/2006,18/12/2006,,152,Drama,Sergi Lopez,Guillermo Del Toro,Spanish,Hopscotch,4.5,4.5,9
Rust And Bone,http://www.abc.net.au/atthemovies/txt/s3713721.htm,3/26/2013,28/03/2013,M,120,"Drama, Romance",Marion Cotillard,Jacques Audiard,English,Hopscotch,4.5,4.5,9
Since Otar Left,http://www.abc.net.au/atthemovies/txt/s1217449.htm,10/14/2004,14/10/2004,M,100,Drama,Esther Gorintin,Julie Bertuccelli,French,Palace Films,4.5,4.5,9
Slumdog Millionaire,http://www.abc.net.au/atthemovies/txt/s2426044.htm,12/14/2008,18/12/2008,MA15+,120,Romantic Comedy,Dev Patel,Danny Boyle,English,Icon,4.5,4.5,9
Somersault,http://www.abc.net.au/atthemovies/txt/s1188200.htm,9/9/2004,16/09/2004,,106,Drama,Abbie Cornish,Cate Shortland,English,Hopscotch,4.5,4.5,9
The Assasination Of Jesse James By The Coward Robert Ford,http://www.abc.net.au/atthemovies/txt/s2053958.htm,10/31/2007,1/11/2007,MA15+,160,Drama,Brad Pitt,Andrew Dominik,English,Roadshow,4.5,4.5,9
The Child,http://www.abc.net.au/atthemovies/txt/s1714127.htm,8/16/2006,24/08/2006,M,92,Drama,Jeremie Renier,Jean-Pierre Dardenne,French,Madman Cinema,5,4,9
The Edge Of Heaven,http://www.abc.net.au/atthemovies/txt/s2201489.htm,4/16/2008,24/04/2008,M,122,Drama,Tuncel Kurtiz,Fatih Akin,German,Sharmill Films,4.5,4.5,9
The Ghost Writer,http://www.abc.net.au/atthemovies/txt/s2946029.htm,8/2/2010,5/8/2010,MA15+,128,"Drama, Thriller, Mystery",Ewan McGregor,Roman Polanski,English,Hoyts Distribution,4.5,4.5,9
The Italian,http://www.abc.net.au/atthemovies/txt/s1900161.htm,4/25/2007,25/04/2007,M,99,Drama,Kolya Spiridonov,Andrei Kravchuk,Russian,Jump Street Films,5,4,9
The Lives Of Others,http://www.abc.net.au/atthemovies/txt/s1864474.htm,3/21/2007,29/03/2007,MA15+,132,Thriller,Ulrich Muhe,Florian Henkel von Donnersmarck,German,Hopscotch,5,4,9
The Master,http://www.abc.net.au/atthemovies/txt/s3615694.htm,11/7/2012,8/11/2012,MA15+,137,Drama,Joaquin Phoenix,Paul Thomas Anderson,English,Roadshow Films,4.5,4.5,9
The New World,http://www.abc.net.au/atthemovies/txt/s1622766.htm,4/26/2006,4/5/2006,M,135,Drama,Colin Farrell,Terrence Malick,English,Roadshow,5,4,9
The Queen,http://www.abc.net.au/atthemovies/txt/s1802105.htm,12/17/2006,26/12/2006,M,103,Drama,Helen Mirren,Stephen Frears,English,Icon,4.5,4.5,9
The Road to Guantanamo,http://www.abc.net.au/atthemovies/txt/s1776846.htm,11/8/2006,16/11/2006,MA15+,95,Docu/Drama,Farhad Harun,Michael Winterbottom,English,Palace Films,5,4,9
Tim Burton's Corpse Bride,http://www.abc.net.au/atthemovies/txt/s1498172.htm,11/17/2005,17/11/2005,PG,74,Claymation Animation,Johnny Depp,Tim Burton,English,,4.5,4.5,9
"Tinker, Tailor, Soldier, Spy",http://www.abc.net.au/atthemovies/txt/s3374253.htm,12/7/2011,19/01/2012,MA15+,128,Thriller,Gary Oldman,Tomas Alfredson,English,Universal Pictures International,4,5,9
