title,url,reviewDate,releaseDate,classification,duration,genre,lead,director,language,distributor,scoreMargaret,scoreDavid,totalRating
Moonrise Kingdom,http://www.abc.net.au/atthemovies/txt/s3564373.htm,8/29/2012,30/08/2012,PG,94,"Comedy, Drama, Romance",Bill Murray,Wes Anderson,English,Universal Pictures Australia,4,3.5,7.5
Morning Glory,http://www.abc.net.au/atthemovies/txt/s3066731.htm,12/12/2010,6/1/2011,,,"Comedy, Drama, Romance",Rachel McAdams,Roger Michell,English,Paramount Pictures Australia,4,3.5,7.5
Mother Fish,http://www.abc.net.au/atthemovies/txt/s2948407.htm,8/2/2010,5/8/2010,M,92,Drama,,Khoa Do,English,Titan View,4,3.5,7.5
Mother and Child,http://www.abc.net.au/atthemovies/txt/s2913826.htm,6/16/2010,17/06/2010,MA15+,126,Drama,Naomi Watts,Rodrigo Garcia,English,Hopscotch,3.5,4,7.5
Mr. Brooks,http://www.abc.net.au/atthemovies/txt/s1970894.htm,7/25/2007,2/8/2007,MA15+,120,Thriller,Kevin Costner,Bruce A. Evans,English,Hoyts,4,3.5,7.5
Mud,http://www.abc.net.au/atthemovies/txt/s3777351.htm,6/11/2013,13/06/2013,M,130,Drama,Matthew McConaughey,Jeff Nichols,English,Roadshow Films,4,3.5,7.5
My Summer of Love,http://www.abc.net.au/atthemovies/txt/s1397045.htm,6/22/2005,30/06/2005,MA15+,86,Drama,Nathalie Press,Pawel Pawlikowski,English,United International Pictures,4,3.5,7.5
My Sweet Pepper Land,http://www.abc.net.au/atthemovies/txt/s4003434.htm,5/20/2014,22/05/2014,M,90,Drama,Korkmaz Arslan,Hiner Saleem,Arabic,Sharmill Films,4,3.5,7.5
My Year Without Sex,http://www.abc.net.au/atthemovies/txt/s2547557.htm,5/13/2009,28/05/2009,M,92,Drama,Sacha Horler,Sarah Watt,English,Footprint,4,3.5,7.5
Mystery Road,http://www.abc.net.au/atthemovies/txt/s3854272.htm,10/8/2013,17/10/2013,M,116,"Action, Crime, Drama",Aaron Pedersen,Ivan Sen,English,Dark Matter,4,3.5,7.5
Napoleon Dynamite,http://www.abc.net.au/atthemovies/txt/s1228362.htm,11/4/2004,11/11/2004,PG,94,Comedy,John Heder,Jared Hess,English,United International Pictures,3.5,4,7.5
Neil Young: Heart of Gold,http://www.abc.net.au/atthemovies/txt/s1629975.htm,5/10/2006,11/5/2006,G,103,Live Music Performance,,Jonathan Demme,English,UIP,3.5,4,7.5
Nightcrawler,http://www.abc.net.au/atthemovies/txt/s4127923.htm,11/25/2014,27/11/2014,MA15+,117,Action/Thriller,Jake Gyllenhaal,Dan Gilroy,English,Madman Cinema,3.5,4,7.5
No,http://www.abc.net.au/atthemovies/txt/s3720903.htm,4/16/2013,18/04/2013,M,117,"Drama, History",Gael Garcia Bernal,Pablo Larrain,Spanish,Rialto Distribution,4,3.5,7.5
Not Quite Hollywood,http://www.abc.net.au/atthemovies/txt/s2335418.htm,8/27/2008,28/08/2008,MA15+,103,Documentary,,Mark Hartley,English,Madman Cinema,4,3.5,7.5
Old Boy,http://www.abc.net.au/atthemovies/txt/s1305812.htm,3/2/2005,3/3/2005,R18+,120,"Thriller, Drama",Choi Min-sik,Park Chan-wook,Korean,Rialto Entertainment,4,3.5,7.5
Oliver Twist,http://www.abc.net.au/atthemovies/txt/s1653007.htm,6/14/2006,15/06/2006,PG,130,Drama,Ben Kingsley,Roman Polanski,English,Roadshow Films,3.5,4,7.5
One Day,http://www.abc.net.au/atthemovies/txt/s3294395.htm,8/31/2011,1/9/2011,M,107,"Drama, Romance",Anne Hathaway,Lone Scherfig,English,Universal Pictures International,3.5,4,7.5
Open Water,http://www.abc.net.au/atthemovies/txt/s1214023.htm,10/7/2004,14/10/2004,M,80,Film Based on a True Story,Blanchard Ryan,Chris Kentis,English,Icon Film Distribution,4,3.5,7.5
Our Idiot Brother,http://www.abc.net.au/atthemovies/txt/s3326985.htm,11/2/2011,3/11/2011,M,90,"Comey, Drama",Paul Rudd,Jesse Peretz,English,20th Century Fox,4,3.5,7.5
Outfoxed: Rupert Murdoch's War on Journalism,http://www.abc.net.au/atthemovies/txt/s1214230.htm,10/7/2004,7/10/2004,PG,77,Documentary,,Robert Greenwald,English,DV1,4.5,3,7.5
Oyster Farmer,http://www.abc.net.au/atthemovies/txt/s1402321.htm,6/29/2005,30/06/2005,MA15+,91,Romantic Comedy Drama,David Field,Anna Reeves,English,Becker,3.5,4,7.5
Peaches,http://www.abc.net.au/atthemovies/txt/s1386327.htm,6/8/2005,9/6/2005,MA15+,110,Drama,Emma Lung,Craig Monahan,English,Hopscotch,3.5,4,7.5
Please Give,http://www.abc.net.au/atthemovies/txt/s2973250.htm,9/1/2010,9/9/2010,M,91,"Comedy, Drama",,Nicole Holofcener,English,Roadshow Films,3.5,4,7.5
Prey for Rock and Roll,http://www.abc.net.au/atthemovies/txt/s1227224.htm,10/28/2004,4/11/2004,MA15+,104,Drama,Gina Gershon,Alex Steyermark,English,Imagine Entertainment,3.5,4,7.5
Pride,http://www.abc.net.au/atthemovies/txt/s4113827.htm,10/28/2014,30/10/2014,M,119,"Comedy, Drama, History",Bill Nighy,Matthew Warchus,English,Entertainment One,4,3.5,7.5
Prime Mover,http://www.abc.net.au/atthemovies/txt/s2709687.htm,10/28/2009,29/10/2009,M,98,"Comedy, Drama",Michael Dorman,David Caesar,English,Transmission Films,3.5,4,7.5
Quartet,http://www.abc.net.au/atthemovies/txt/s3637785.htm,12/5/2012,26/12/2012,M,98,"Comedy, Drama",Maggie Smith,Dustin Hoffman,English,Paramount Pictures Australia/Transmission Films,3.5,4,7.5
Rabbit Hole,http://www.abc.net.au/atthemovies/txt/s3092951.htm,2/16/2011,17/02/2011,M,91,Drama,Nicole Kidman,John Cameron Mitchell,English,Roadshow Films,4,3.5,7.5
Rebelle,http://www.abc.net.au/atthemovies/txt/s3697782.htm,3/12/2013,14/03/2013,MA15+,90,"Drama, War",Rachel Mwanza,Kim Nguyen,English,Curious Films,4,3.5,7.5
Red 2,http://www.abc.net.au/atthemovies/txt/s3827510.htm,8/27/2013,29/08/2013,M,115,"Action, Comedy, Crime, Thriller",Bruce Willis,Dean Parisot,English,Hopscotch,4,3.5,7.5
Red Hill,http://www.abc.net.au/atthemovies/txt/s3044677.htm,11/17/2010,25/11/2010,MA15+,97,"Crime, Thriller",Ryan Kwanten,Patrick Hughes,English,Sony Pictures Releasing,3.5,4,7.5
Red Obsession,http://www.abc.net.au/atthemovies/txt/s3814921.htm,8/13/2013,15/08/2013,PG,79,Documentary,,David Roach,English,Roadshow Films,4,3.5,7.5
Red Road,http://www.abc.net.au/atthemovies/txt/s2024585.htm,10/3/2007,,R18+,112,Thriller,Kate Dickie,Andrea Arnold,English,Arkles,4,3.5,7.5
Rendition,http://www.abc.net.au/atthemovies/txt/s2144731.htm,2/13/2008,14/02/2008,MA15+,122,Drama,Jake Gyllenhaal,Gavin Hood,English,Roadshow,4,3.5,7.5
Rescue Dawn,http://www.abc.net.au/atthemovies/txt/s2064662.htm,11/21/2007,22/11/2007,MA15+,134,Action/Drama,Christian Bale,Werner Herzog,English,Hopscotch Films,4,3.5,7.5
Rise of the Planet of the Apes,http://www.abc.net.au/atthemovies/txt/s3258538.htm,8/10/2011,4/8/2011,M,106,"Action, Drama, Sci-Fi, Thriller",James Franco,Rupert Wyatt,English,20th Century Fox,4,3.5,7.5
Rock School,http://www.abc.net.au/atthemovies/txt/s1407316.htm,7/6/2005,7/7/2005,M,93,Music / Documentary,Paul Green,Don Argott,English,ICON Film Distributors,3.5,4,7.5
Rocket Science,http://www.abc.net.au/atthemovies/txt/s2917454.htm,6/16/2010,17/06/2010,M,98,"Comedy, Drama",Nicholas D,Jeffrey Blitz,English,Hopscotch,4,3.5,7.5
Shooter,http://www.abc.net.au/atthemovies/txt/s1888349.htm,4/18/2007,19/04/2007,MA15+,125,Thriller,Mark Wahlberg,Antoine Fuqua,English,Paramount Pictures Australia,4,3.5,7.5
Shopgirl,http://www.abc.net.au/atthemovies/txt/s1511354.htm,11/23/2005,1/12/2005,M,100,Comedy/Drama,Steve Martin,Anand Tucker,English,20th Century Fox,4,3.5,7.5
Shortbus,http://www.abc.net.au/atthemovies/txt/s1768163.htm,11/1/2006,9/11/2006,R18+,102,Drama,Sook-Yin Lee,John Cameron Mitchell,English,Hopscotch,3.5,4,7.5
Sightseers,http://www.abc.net.au/atthemovies/txt/s3628781.htm,11/28/2012,26/12/2012,MA15+,88,Comedy,Steve Oram,Ben Wheatley,English,Rialto Distribution,4,3.5,7.5
Silent Souls,http://www.abc.net.au/atthemovies/txt/s3492148.htm,5/16/2012,10/5/2012,M,75,Drama,,Aleksei Fedorchenko,Russian,Icon Film Distribution,3.5,4,7.5
Skin,http://www.abc.net.au/atthemovies/txt/s2931062.htm,7/21/2010,22/07/2010,M,107,"Biography, Drama, Mystery",Sam Neill,Anthony Fabian,English,All Active Entertainment,3.5,4,7.5
Solo,http://www.abc.net.au/atthemovies/txt/s1674915.htm,7/5/2006,6/7/2006,MA15+,94,Drama,Colin Friels,Morgan O&apos;Neill,English,Dendy Films,3.5,4,7.5
Source Code,http://www.abc.net.au/atthemovies/txt/s3194717.htm,5/4/2011,5/5/2011,M,93,"Mystery, Sci-Fi, Thriller",Jake Gyllenhaal,Duncan Jones,English,Hopscotch,3.5,4,7.5
Standard Operating Procedure,http://www.abc.net.au/atthemovies/txt/s2276325.htm,7/2/2008,3/7/2008,MA15+,111,Documentary,,Errol Morris,English,Sony Pictures,4.5,3,7.5
Star Trek Into Darkness,http://www.abc.net.au/atthemovies/txt/s3750453.htm,5/7/2013,9/5/2013,M,129,"Action, Adventure",Benedict Cumberbatch,J J Abrams,English,Paramount Pictures Australia,4,3.5,7.5
Stoker,http://www.abc.net.au/atthemovies/txt/s3814956.htm,8/20/2013,29/08/2013,MA15+,99,"Drama, Mystery",Nicole Kidman,Chan-wook Park,English,,3.5,4,7.5
Summer Hours,http://www.abc.net.au/atthemovies/txt/s2514427.htm,4/1/2009,2/4/2009,M,99,Drama,Juliette Binoche,Olivier Assayas,French,Palace,3.5,4,7.5
Take Shelter,http://www.abc.net.au/atthemovies/txt/s3307861.htm,10/12/2011,13/10/2011,M,121,Drama,Michael Shannon,Jeff Nichols,English,Sony Pictures Releasing,4,3.5,7.5
Tamara Drewe,http://www.abc.net.au/atthemovies/txt/s3092913.htm,2/9/2011,3/1/2011,M,111,Comedy,Gemma Arterton,Stephen Frears,English,Roadshow Films,3.5,4,7.5
Tangled,http://www.abc.net.au/atthemovies/txt/s3076576.htm,12/12/2010,26/12/2010,PG,100,"Animation, Comedy, Family, Musical",Animation,Nathan Greno,English,Walt Disney Studios,4,3.5,7.5
Tarnation,http://www.abc.net.au/atthemovies/txt/s1412091.htm,7/13/2005,14/07/2005,M,91,Documentary,Jonathan Caouette,Jonathan Caouette,English,Dendy Films,4,3.5,7.5
Tell Them Who You Are,http://www.abc.net.au/atthemovies/txt/s1433703.htm,8/10/2005,11/8/2005,M,119,Documentary,Haskell Wexler,Mark S. Wexler,English,Arkles Entertainment,4.5,3,7.5
Thank You For Smoking,http://www.abc.net.au/atthemovies/txt/s1714029.htm,8/16/2006,17/08/2006,M,92,Drama,Aaron Eckhart,Jason Reitman,English,20th Century Fox,3.5,4,7.5
The 40 Year Old Virgin,http://www.abc.net.au/atthemovies/txt/s1474163.htm,10/5/2005,6/10/2005,MA15+,116,Comedy,Steve Carell,Judd Apatow,English,United International Pictures,4,3.5,7.5
The Armstrong Lie,http://www.abc.net.au/atthemovies/txt/s3948004.htm,3/11/2014,13/03/2014,M,123,Documentary,Lance Armstrong,Alex Gibney,English,Sony Pictures Releasing,4,3.5,7.5
The Assassination of Richard Nixon,http://www.abc.net.au/atthemovies/txt/s1381334.htm,6/1/2005,9/6/2005,MA15+,95,Drama,Sean Penn,Niels Mueller,English,Dendy,4,3.5,7.5
The Avengers,http://www.abc.net.au/atthemovies/txt/s3485705.htm,5/2/2012,25/04/2012,M,142,"Adventure, Action",Robert Downey Junior,Joss Whedon,English,Walt Disney Studios,4,3.5,7.5
The Baader-Meinhof Complex,http://www.abc.net.au/atthemovies/txt/s2547310.htm,5/6/2009,7/5/2009,,,Action/Drama,Moritz Bleibtreu,Uli Edel,German,Icon,4,3.5,7.5
The Bank Job,http://www.abc.net.au/atthemovies/txt/s2297923.htm,7/30/2008,31/07/2008,MA15+,112,Drama,Jason Statham,Roger Donaldson,English,Paramount Pictures Australia,4,3.5,7.5
The Beat My Heart Skipped,http://www.abc.net.au/atthemovies/txt/s1402360.htm,6/29/2005,30/06/2005,M,107,Drama,Romain Duris,Jacques Audiard,English,Palace Films,4,3.5,7.5
The Best Offer,http://www.abc.net.au/atthemovies/txt/s3827507.htm,8/27/2013,29/08/2013,M,124,"Crime, Drama, Romance",Geoffrey Rush,Giuseppe Tornatore,English,Transmission Films,3.5,4,7.5
The Boy Who Plays on the Buddhas of Bamiyan,http://www.abc.net.au/atthemovies/txt/s1148393.htm,7/15/2004,15/07/2004,PG,96,Documentary,Mir Hussain,Phil Grabsky,,Gil Scrine Films,3.5,4,7.5
The Boys Are Back,http://www.abc.net.au/atthemovies/txt/s2725416.htm,11/11/2009,5/11/2009,M,104,"Comedy, Drama",Clive Owen,Scott Hicks,English,Hopscotch,4,3.5,7.5
The Brothers Bloom,http://www.abc.net.au/atthemovies/txt/s2725417.htm,11/11/2009,12/11/2009,M,113,"Adventure, Comedy, Crime, Drama, Romance (English &amp; French)",Rachel Weisz,Rian Johnson,English,Roadshow,4,3.5,7.5
The Burning Plain,http://www.abc.net.au/atthemovies/txt/s2873803.htm,4/21/2010,22/04/2010,M,107,"Crime, Drama, Romance",Charlize Theron,Guillermo Arriaga,English,Icon Films,3.5,4,7.5
The Control Room,http://www.abc.net.au/atthemovies/txt/s1148378.htm,7/8/2004,24/06/2004,MA15+,84,Documentary,,Jehane Noujaim,Arabic,Rialto Entertainment,3.5,4,7.5
The Cove,http://www.abc.net.au/atthemovies/txt/s2642591.htm,8/19/2009,20/08/2009,M,91,Documentary,,Louie Psihoyos,English,Gil Scrine Films/Madman Cinema,3.5,4,7.5
The Damned United,http://www.abc.net.au/atthemovies/txt/s2693245.htm,10/14/2009,15/10/2009,M,97,Drama,Michael Sheen,Tom Hooper,English,Sony Pictures Releasing,4,3.5,7.5
The Dark Horse,http://www.abc.net.au/atthemovies/txt/s4128772.htm,11/19/2014,20/11/2014,M,124,Drama,Cliff Curtis,James Napier Robertson,English,Transmission Films,4,3.5,7.5
The Dead Girl,http://www.abc.net.au/atthemovies/txt/s1949940.htm,6/20/2007,21/06/2007,MA15+,93,Mystery/Thriller,Toni Collette,Karen Moncrieff,English,Hoyts Distribution,3.5,4,7.5
The Debt,http://www.abc.net.au/atthemovies/txt/s3346870.htm,11/9/2011,10/11/2011,MA15+,114,"Drama, Thriller",Helen Mirren,John Madden,English,Universal Pictures Australia,4,3.5,7.5
The Devil and Daniel Johnston,http://www.abc.net.au/atthemovies/txt/s1685776.htm,7/26/2006,27/07/2006,M,110,Documentary,,Jeff Feuerzeig,English,Roadshow,4,3.5,7.5
The Dictator,http://www.abc.net.au/atthemovies/txt/s3492143.htm,5/16/2012,16/05/2012,MA15+,84,Comedy,Sacha Baron Cohen,Larry Charles,English,Paramount Pictures Australia,4,3.5,7.5
The Disappearance of Alice Creed,http://www.abc.net.au/atthemovies/txt/s2985253.htm,9/8/2010,9/9/2010,,98,"Crime, Drama, Thriller",,J Blakeson,English,Icon Film Distribution,3.5,4,7.5
The Duchess,http://www.abc.net.au/atthemovies/txt/s2354456.htm,10/1/2008,2/10/2008,M,109,Historical/Drama,Keira Knightley,Saul Dibb,English,Paramount Pictures Australia,4,3.5,7.5
The End of the Line,http://www.abc.net.au/atthemovies/txt/s2879947.htm,5/12/2010,13/05/2010,,85,Documentary,,Rupert Murray,English,DVI/Ovation Channel,3.5,4,7.5
The Final Winter,http://www.abc.net.au/atthemovies/txt/s2004682.htm,8/29/2007,6/9/2007,M,96,Drama,Matt Nable,Jane Forrest,English,Paramount Pictures Australia,4,3.5,7.5
The Five Year Engagement,http://www.abc.net.au/atthemovies/txt/s3484851.htm,5/2/2012,3/5/2012,MA15+,124,"Comedy, Romance",Jason Segel,Nicholas Stoller,English,Universal Pictures International,4,3.5,7.5
The Hitchhiker's Guide to the Galaxy,http://www.abc.net.au/atthemovies/txt/s1353605.htm,4/27/2005,28/04/2005,PG,109,Sci-Fi Comedy,Martin Freeman,Garth Jennings,English,Buena Vista International,3.5,4,7.5
The Home Song Stories,http://www.abc.net.au/atthemovies/txt/s1996172.htm,8/15/2007,23/08/2007,M,99,Drama,Joan Chen,Tony Ayres,English,Dendy,4,3.5,7.5
The Hunting of the President,http://www.abc.net.au/atthemovies/txt/s1328188.htm,3/30/2005,24/03/2005,M,93,Documentary,Morgan Freeman,Harry Thomason,English,ARKLES ENTERTAINMENT,4,3.5,7.5
The Illusionist,http://www.abc.net.au/atthemovies/txt/s3258580.htm,7/27/2011,28/07/2011,PG,80,"Animation, Comedy, Drama",Cartoon,Sylvain Chomet,,Potential Films,3.5,4,7.5
The Imaginarium of Doctor Parnassus,http://www.abc.net.au/atthemovies/txt/s2709681.htm,10/21/2009,29/10/2009,PG,122,"Adventure, Fantasy, Mystery",Johnny Depp,Terry Gilliam,English,Hoyts,4,3.5,7.5
The Kite Runner,http://www.abc.net.au/atthemovies/txt/s2099472.htm,12/16/2007,24/01/2008,M,128,Drama,Khalid Abdalla,Marc Forster,English,Paramount Pictures Australia,4,3.5,7.5
The Lady,http://www.abc.net.au/atthemovies/txt/s3475175.htm,4/18/2012,19/04/2012,MA15+,132,Drama,Michelle Yeoh,Luc Besson,English,Roadshow Films,4,3.5,7.5
The Last Station,http://www.abc.net.au/atthemovies/txt/s2844466.htm,3/31/2010,1/4/2010,M,112,"Biography, Drama, History",Christopher Plummer,Michael Hoffman,English,Becker Film Group,4,3.5,7.5
The Lawless Heart,http://www.abc.net.au/atthemovies/txt/s1299906.htm,2/23/2005,17/02/2005,MA15+,100,"Drama, Romantic Comedy",,Neil Hunter,English,Polyphony Entertainment,3.5,4,7.5
The Lego Movie,http://www.abc.net.au/atthemovies/txt/s3966136.htm,4/1/2014,3/4/2014,PG,100,"Animation, Adventure",Voices,Phil Lord,English,Roadshow Films,3.5,4,7.5
The Libertine,http://www.abc.net.au/atthemovies/txt/s1688216.htm,7/26/2006,27/07/2006,MA15+,110,Drama,Johnny Depp,Lauren Dunmore,English,Roadshow,4,3.5,7.5
The Manual of Love,http://www.abc.net.au/atthemovies/txt/s1589024.htm,3/22/2006,23/03/2006,M,115,Drama,Carlo Verdone,Giovanni Veronesi,English,Palace,4,3.5,7.5
The Missing Picture,http://www.abc.net.au/atthemovies/txt/s3957991.htm,3/18/2014,20/03/2014,M,92,Documentary,Randal Douc,Rithy Panh,English,Sharmill Films,3.5,4,7.5
The Namesake,http://www.abc.net.au/atthemovies/txt/s1875136.htm,4/4/2007,5/4/2007,M,122,Comedy/Drama,"Irfan Khan,",Mira Nair,English,20th Century Fox,4,3.5,7.5
The Orphanage,http://www.abc.net.au/atthemovies/txt/s2230466.htm,5/21/2008,29/05/2008,MA15+,105,Thriller/Drama,Bel,Juan Antonio Bayona,Spanish,Roadshow,4,3.5,7.5
The Other Guys,http://www.abc.net.au/atthemovies/txt/s2985261.htm,9/8/2010,9/9/2010,M,107,"Action, Comedy",Will Ferrell,Adam McKay,English,Sony Pictures,4,3.5,7.5
The Prestige,http://www.abc.net.au/atthemovies/txt/s1777664.htm,11/15/2006,16/11/2006,M,130,Drama,Hugh Jackman,Christopher Nolan,English,Roadshow Films,4,3.5,7.5
The Proposition,http://www.abc.net.au/atthemovies/txt/s1474241.htm,10/5/2005,6/10/2005,MA15+,104,Drama,Guy Pearce,John Hillcoat,English,Sony Pictures Releasing,4,3.5,7.5
The Real Dirt On Farmer John,http://www.abc.net.au/atthemovies/txt/s2053886.htm,10/24/2007,,PG,98,Documentary,,Taggart Siegel,English,Mark Orton,4,3.5,7.5
The Rum Diary,http://www.abc.net.au/atthemovies/txt/s3422403.htm,3/14/2012,15/03/2012,M,119,"Comedy, Drama, Romance, Thriller",Johnny Depp,Bruce Robinson,English,20th Century Fox,4,3.5,7.5
The Runaways,http://www.abc.net.au/atthemovies/txt/s2931044.htm,7/7/2010,15/07/2010,MA15+,106,"Drama, Music",Kristen Stewart,Floria Sigismondi,English,Hoyts Distribution,3.5,4,7.5
The Secret in Their Eyes,http://www.abc.net.au/atthemovies/txt/s2879956.htm,5/19/2010,27/05/2010,MA15+,129,"Crime, Drama, Mystery, Romance",Ricardo Darin,Juan Jose Campanella,Spanish,Rialto Distribution,3.5,4,7.5
The Simpsons Movie,http://www.abc.net.au/atthemovies/txt/s1983061.htm,8/1/2007,26/07/2007,PG,87,Animation,Dan Castellaneta,David Silverman,English,20th Century Fox,3.5,4,7.5
The Singer,http://www.abc.net.au/atthemovies/txt/s1875069.htm,4/4/2007,5/4/2007,M,112,Romantic Drama,Gerard Depardieu,Xavier Giannoli,French,Palace Films,4,3.5,7.5
The Spiderwick Chronicles,http://www.abc.net.au/atthemovies/txt/s2189550.htm,4/2/2008,3/4/2008,PG,95,Fantasy/ Drama,Freddie Highmore,Mark Waters,English,Paramount Pictures Australia,4,3.5,7.5
The Take,http://www.abc.net.au/atthemovies/txt/s1439071.htm,8/17/2005,11/8/2005,M,85,Documentary,,Avi Lewis,Spanish,Gil Scrine Films,3.5,4,7.5
The Topp Twins:Untouchable Girls,http://www.abc.net.au/atthemovies/txt/s2725423.htm,11/18/2009,26/11/2009,PG,84,Documentary,Jools,Leanne Pooley,English,Rialto Distribution,4,3.5,7.5
The Town,http://www.abc.net.au/atthemovies/txt/s3012396.htm,10/13/2010,14/10/2010,MA15+,125,"Drama, Action, Thriller, Crime",Ben Affleck,Ben Affleck,English,Roadshow Films,3.5,4,7.5
The Trip To Italy,http://www.abc.net.au/atthemovies/txt/s4003432.htm,5/20/2014,29/05/2014,M,103,"Comedy, Drama",Rob Brydon,Michael Winterbottom,English,Madman Cinema,4,3.5,7.5
The Turning,http://www.abc.net.au/atthemovies/txt/s3846630.htm,9/17/2013,26/09/2013,MA15+,180,,Various,Various,English,Madman Cinema,4,3.5,7.5
The Two Faces of January,http://www.abc.net.au/atthemovies/txt/s4022470.htm,6/17/2014,19/06/2014,M,96,Thriller,Kirsten Dunst,Hossein Amini,English,StudioCanal,4,3.5,7.5
The Way Way Back,http://www.abc.net.au/atthemovies/txt/s3798374.htm,7/30/2013,1/8/2013,M,103,"Comedy, Drama",Steve Carell,Nat Faxon,English,Studio Canal,3.5,4,7.5
The Wind That Shakes The Barley,http://www.abc.net.au/atthemovies/txt/s1743453.htm,9/20/2006,21/09/2006,M,122,Drama,Cillian Murphy,Ken Loach,English,Dendy Films,3.5,4,7.5
The Yes Men,http://www.abc.net.au/atthemovies/txt/s1407932.htm,7/6/2005,7/7/2005,M,81,Comedy / Documentary,andy Bichlbaum,Chris Smith,English,Rialto Entertainment,3.5,4,7.5
The Young Victoria,http://www.abc.net.au/atthemovies/txt/s2656399.htm,8/26/2009,27/08/2009,PG,105,"Drama, History, Romance",Emily Blunt,Jean-Marc Vallee,English,Roadshow,4,3.5,7.5
This Is Where I Leave You,http://www.abc.net.au/atthemovies/txt/s4099266.htm,10/21/2014,23/10/2014,M,103,"Comedy, Drama",Jason Bateman,Shawn Levy,English,Roadshow Films,4,3.5,7.5
This Must Be The Place,http://www.abc.net.au/atthemovies/txt/s3464888.htm,4/4/2012,5/4/2012,M,112,"Comedy, Drama",Sean Penn,Paolo Sorrentino,English,Hopscotch,3.5,4,7.5
Thumbsucker,http://www.abc.net.au/atthemovies/txt/s1511203.htm,11/23/2005,24/11/2005,M,96,Drama,Lou Pucci,Mike Mills,English,Sony Pictures Releasing,4,3.5,7.5
Tom White,http://www.abc.net.au/atthemovies/txt/s1178546.htm,8/19/2004,19/08/2004,MA15+,106,Drama,Colin Friels,Alkinos Tsilimidos,English,Palace Films,4,3.5,7.5
Toomelah,http://www.abc.net.au/atthemovies/txt/s3367030.htm,11/23/2011,24/11/2011,MA15+,124,Drama,Daniel Conners,Ivan Sen,English,Palace Films,4,3.5,7.5
Trance,http://www.abc.net.au/atthemovies/txt/s3713715.htm,4/2/2013,4/4/2013,MA15+,103,"Crime, Drama, Thriller",James McAvoy,Danny Boyle,English,20th Century Fox,4,3.5,7.5
Transamerica,http://www.abc.net.au/atthemovies/txt/s1569580.htm,2/22/2006,23/02/2006,M,104,Drama,Felicity Huffman,Duncan Tucker,English,Hopscotch,4,3.5,7.5
Transcendence,http://www.abc.net.au/atthemovies/txt/s3982857.htm,4/22/2014,24/04/2014,M,119,"Drama, Mystery, Sci-Fi",Johnny Depp,Wally Pfister,English,Roadshow Films,3.5,4,7.5
Trishna,http://www.abc.net.au/atthemovies/txt/s3481321.htm,5/9/2012,10/5/2012,MA15+,117,Drama,Freida Pinto,Michael Winterbottom,English,Madman Entertainment,4,3.5,7.5
Twilight,http://www.abc.net.au/atthemovies/txt/s2428917.htm,12/14/2008,11/12/2008,M,121,Horror,Kristen Stewart,Catherine Hardwicke,English,Hoyts Distribution,4,3.5,7.5
Two Lovers,http://www.abc.net.au/atthemovies/txt/s2563844.htm,6/3/2009,4/6/2009,M,110,Drama,Joaquin Phoenix,James Gray,English,Roadshow,4,3.5,7.5
Tyrannosaur,http://www.abc.net.au/atthemovies/txt/s3422407.htm,2/22/2012,23/02/2012,MA15+,92,Drama,Peter Mullan,Paddy Considine,English,Madman,3.5,4,7.5
Unfinished Sky,http://www.abc.net.au/atthemovies/txt/s2263917.htm,6/18/2008,19/06/2008,M,90,Drama,William McInnes,Peter Duncan,English,Palace,3.5,4,7.5
Unfolding Florence,http://www.abc.net.au/atthemovies/txt/s1714241.htm,8/23/2006,24/08/2006,PG,82,Documentary,Judi Farr,Gillian Amstrong,English,Dendy Films,3.5,4,7.5
Unstoppable,http://www.abc.net.au/atthemovies/txt/s3076550.htm,12/12/2010,6/1/2011,M,99,"Action, Drama, Thriller",Denzel Washington,Tony Scott,English,20th Century Fox,4,3.5,7.5
Wall - E,http://www.abc.net.au/atthemovies/txt/s2349317.htm,9/20/2008,18/09/2008,G,98,Animated/Adventure,Ben Burtt,Andrew Stanton,English,Walt Disney Studios,3.5,4,7.5
Warm Bodies,http://www.abc.net.au/atthemovies/txt/s3720873.htm,4/9/2013,11/4/2013,M,97,"Comedy, Horror, Romance",Nicholas Hoult,Jonathan Levine,English,ICON Film Distribution,4,3.5,7.5
Wasted On The Young,http://www.abc.net.au/atthemovies/txt/s3136521.htm,3/2/2011,3/2/2011,MA15+,97,Drama,"Oliver Ackland,",Ben C Lucas,English,Paramount Pictures Australia,4,3.5,7.5
We Don't Live Here Anymore,http://www.abc.net.au/atthemovies/txt/s1364922.htm,5/11/2005,26/05/2005,M,101,Drama,,John Curran,English,Dendy Films,4,3.5,7.5
We Need To Talk About Kevin,http://www.abc.net.au/atthemovies/txt/s3360420.htm,11/16/2011,17/11/2011,MA15+,112,"Drama, Thriller",Tilda Swinton,Lynne Ramsay,English,Hopscotch,4,3.5,7.5
We Steal Secrets: The Story Of Wikileaks,http://www.abc.net.au/atthemovies/txt/s3780164.htm,7/2/2013,4/7/2013,M,130,Documentary,Julian Assange,Alex Gibney,English,Universal Pictures International,4,3.5,7.5
Where The Wilds Things Are,http://www.abc.net.au/atthemovies/txt/s2738632.htm,11/25/2009,3/12/2009,PG,101,"Adventure, Drama, Family, Fantasy",Max Records,Spike Jonze,English,Roadshow Films,4,3.5,7.5
