Award Year,Movie,Win,Total wins,Nominations,Critic,User,RatingDiff,Budget,Revenue,ROI
2003,Chicago,W,6,13,0.86,0.83,0.03,45000000,306776732,5.82
2002,Gosford Park,N,1,7,0.86,0.78,0.08,19800000,87754044,3.43
2013,Beasts of the Southern Wild,N,0,4,0.86,0.76,0.10,1800000,21107746,10.73
2004,Master and Commander: The Far Side of the World,N,2,10,0.85,0.80,0.05,150000000,212011111,0.41
2001,Erin Brockovich,N,1,5,0.84,0.80,0.04,52000000,256271286,3.93
2012,Tree of Life,N,0,3,0.84,0.60,0.24,32000000,54674226,0.71
2005,Finding Neverland,N,1,7,0.83,0.87,-0.04,25000000,51676606,1.07
2016,The Revenant,NA,0,12,0.83,0.85,-0.02,135000000,362768507,1.69
2010,Avatar,N,3,9,0.83,0.82,0.01,237000000,2781505847,10.74
2008,Atonement,N,1,7,0.83,0.80,0.03,30000000,129266061,3.31
2005,Ray,N,2,6,0.81,0.87,-0.06,40000000,124731534,2.12
2003,The Hours,N,1,9,0.81,0.85,-0.04,25000000,108846072,3.35
2015,The Theory of Everything,N,1,5,0.80,0.84,-0.04,15000000,121201940,7.08
2006,Munich,N,0,5,0.78,0.83,-0.05,70000000,130358911,0.86
2014,The Wolf of Wall Street,N,0,5,0.77,0.82,-0.05,100000000,392000694,2.92
2004,Seabiscuit,N,0,7,0.77,0.76,0.01,87000000,148336445,0.71
2012,War Horse,N,0,6,0.77,0.74,0.03,66000000,177584879,1.69
2012,The Help,N,1,4,0.76,0.89,-0.13,25000000,124272124,3.97
2002,Moulin Rouge,N,2,8,0.76,0.89,-0.13,52500000,177677823,2.38
2001,Gladiator,W,5,12,0.76,0.87,-0.11,103000000,457640427,3.44
2002,A Beautiful Mind,W,4,8,0.75,0.93,-0.18,60000000,313542341,4.23
2006,Crash,W,3,6,0.75,0.88,-0.13,6500000,98410061,14.14
2003,Gangs of New York,N,0,10,0.75,0.81,-0.06,100000000,193772504,0.94
2015,American Sniper,N,1,6,0.72,0.85,-0.13,58800000,542307423,8.22
2009,The Curious Case of Benjamin Button,N,3,13,0.72,0.80,-0.08,150000000,333932083,1.23
2013,Les Misérables,N,3,8,0.70,0.79,-0.09,61000000,441809770,6.24
2007,Babel,N,1,7,0.69,0.77,-0.08,25000000,135330182,4.41
2010,The Blind Side,N,1,2,0.66,0.85,-0.19,29000000,309208309,9.66
2001,Chocolat,N,0,5,0.63,0.83,-0.20,25000000,152500343,5.10
2009,The Reader,N,1,5,0.61,0.79,-0.18,32000000,108901967,2.40
2012,Extremely Loud and Incredibly Close,N,0,2,0.46,0.61,-0.15,40000000,55247881,0.38
