Award Year,Movie,Win,Total wins,Nominations,Critic,User,Budget,Revenue,ROI,People
2007,Babel,N,1,7,0.69,0.77,25000000,135330182,4.41,N
2007,The Departed,W,4,5,0.91,0.94,90000000,289847354,2.22,W
2007,Letters from Iwo Jima,N,1,4,0.91,0.86,19000000,68673228,2.61,N
2007,Little Miss Sunshine,N,2,4,0.91,0.91,8000000,100523181,11.57,N
2007,The Queen,N,1,6,0.97,0.76,15000000,123384128,7.23,N
2006,Crash,W,3,6,0.75,0.88,6500000,98410061,14.14,W
2006,Brokeback Mountain,N,3,8,0.87,0.82,14000000,178043761,11.72,N
2006,Capote,N,1,5,0.90,0.81,7000000,49084830,6.01,N
2006,"""Good Night, and Good Luck""",N,0,6,0.93,0.83,7000000,54600000,6.80,N
2006,Munich,N,0,5,0.78,0.83,70000000,130358911,0.86,N
2005,Million Dollar Baby,W,4,7,0.91,0.90,30000000,216763646,6.23,W
2005,The Aviator ,N,5,11,0.87,0.79,116000000,213741459,0.84,N
2005,Finding Neverland,N,1,7,0.83,0.87,25000000,51676606,1.07,N
2005,Ray,N,2,6,0.81,0.87,40000000,124731534,2.12,N
2005,Sideways,N,1,5,0.96,0.78,16000000,109502303,5.84,N
2004,The Lord of the Rings: The Return of the King,W,11,11,0.91,0.95,94000000,1118888979,10.90,W
2004,Lost in Translation,N,1,4,0.95,0.86,4000000,9000000,1.25,N
2004,Master and Commander: The Far Side of the World,N,2,10,0.85,0.80,150000000,212011111,0.41,N
2004,Mystic RIver,N,2,6,0.87,0.89,25000000,156822020,5.27,N
2004,Seabiscuit,N,0,7,0.77,0.76,87000000,148336445,0.71,N
2003,Chicago,W,6,13,0.86,0.83,45000000,306776732,5.82,N
2003,Gangs of New York,N,0,10,0.75,0.81,100000000,193772504,0.94,N
2003,The Hours,N,1,9,0.81,0.85,25000000,108846072,3.35,N
2003,The Lord of the Rings: The Two Towers,N,2,6,0.96,0.95,79000000,926287400,10.73,W
2003,The Pianist,N,3,7,0.96,0.95,35000000,120072577,2.43,W
2002,A Beautiful Mind,W,4,8,0.75,0.93,60000000,313542341,4.23,W
2002,Gosford Park,N,1,7,0.86,0.78,19800000,87754044,3.43,N
2002,In the Bedroom ,N,0,5,0.93,0.81,2000000,35918429,16.96,N
2002,The Lord of the Rings: The Fellowship of the Ring,N,4,13,0.95,0.86,93000000,871368364,8.37,N
2002,Moulin Rouge,N,2,8,0.76,0.89,52500000,177677823,2.38,N
2001,Gladiator,W,5,12,0.76,0.87,103000000,457640427,3.44,W
2001,Chocolat,N,0,5,0.63,0.83,25000000,152500343,5.10,N
2001,"Crouching TIger, Hidden Dragon",N,4,10,0.97,0.86,17000000,213525736,11.56,N
2001,Erin Brockovich,N,1,5,0.84,0.80,52000000,256271286,3.93,N
2001,Traffic,N,4,5,0.92,0.85,48000000,207515725,3.32,N
